epoch,step,train_loss,train_ortho_penalty,train_recon_mse,train_task_mse,train_tau_value,val_loss,val_ortho_penalty,val_recon_mse,val_task_mse,val_tau_value
13,3499,0.9434444904327393,0.001181870698928833,0.11399921774864197,0.3722664713859558,0.11355075985193253,,,,,
13,3549,0.8924050331115723,0.001032613217830658,0.10833133012056351,0.3497157394886017,0.11378899216651917,,,,,
13,3599,1.0166643857955933,0.0025589168071746826,0.12808163464069366,0.37369731068611145,0.11396975815296173,,,,,
13,3649,0.9128183722496033,0.0007175132632255554,0.11178156733512878,0.3531929850578308,0.11418485641479492,,,,,
13,3699,0.9102197289466858,0.0016005486249923706,0.109897680580616,0.35913074016571045,0.11432001739740372,,,,,
13,3709,,,,,,2.0414347648620605,5.8226291002938524e-05,0.18838182091712952,1.0994677543640137,0.11437512934207916
14,3749,0.8327143788337708,3.139674663543701e-05,0.11002104729413986,0.2825777232646942,0.11456556618213654,,,,,
14,3799,1.0520505905151367,0.00227326899766922,0.13184545934200287,0.39054998755455017,0.11470069736242294,,,,,
14,3849,0.9424231052398682,0.002308577299118042,0.1145709753036499,0.367259681224823,0.11488582193851471,,,,,
14,3899,1.0478729009628296,0.0025796517729759216,0.13816604018211365,0.35446298122406006,0.1150769367814064,,,,,
14,3949,0.9967995882034302,0.0005303323268890381,0.13169816136360168,0.3377784490585327,0.11528247594833374,,,,,
14,3974,,,,,,2.340195894241333,0.0017448067665100098,0.24385662376880646,1.1191673278808594,0.11537303775548935
15,3999,1.0557494163513184,0.000290796160697937,0.12634147703647614,0.4237512946128845,0.11539093405008316,,,,,
15,4049,1.1105172634124756,0.0020732134580612183,0.13817501068115234,0.41756904125213623,0.11554645746946335,,,,,
15,4099,1.0877892971038818,0.00159454345703125,0.13407038152217865,0.41584283113479614,0.11573575437068939,,,,,
15,4149,1.0924592018127441,0.001879274845123291,0.1471918225288391,0.35462090373039246,0.11590614169836044,,,,,
15,4199,1.1384334564208984,0.0006613880395889282,0.154073104262352,0.36740657687187195,0.116146020591259,,,,,
15,4239,,,,,,2.7266223430633545,0.00015267729759216309,0.31582340598106384,1.1473532915115356,0.11627327650785446
16,4249,1.24272882938385,0.001390106976032257,0.1642741560935974,0.41996800899505615,0.11630453914403915,,,,,
16,4299,1.0925476551055908,0.003169231116771698,0.14360889792442322,0.3713339567184448,0.11648358404636383,,,,,
16,4349,1.1610909700393677,0.0005304962396621704,0.15075986087322235,0.40676113963127136,0.1166548877954483,,,,,
16,4399,1.1638765335083008,0.002368360757827759,0.16560572385787964,0.3334796130657196,0.11685053259134293,,,,,
16,4449,1.2065885066986084,0.0006067752838134766,0.1703433245420456,0.354265034198761,0.11702346801757812,,,,,
16,4499,1.2427854537963867,0.0015844255685806274,0.17345307767391205,0.37393566966056824,0.1172461286187172,,,,,
16,4504,,,,,,2.7754621505737305,0.0028252601623535156,0.32492363452911377,1.1480188369750977,0.11725769937038422
17,4549,1.1575422286987305,0.0008113086223602295,0.14862927794456482,0.4135844111442566,0.1173660010099411,,,,,
17,4599,1.1888905763626099,0.0005227625370025635,0.16126446425914764,0.38204553723335266,0.11758916825056076,,,,,
17,4649,1.091141700744629,0.0015216618776321411,0.14937400817871094,0.3427499532699585,0.11778735369443893,,,,,
17,4699,1.1949013471603394,0.004952535033226013,0.16717404127120972,0.35407859086990356,0.1179492324590683,,,,,
17,4749,1.1784420013427734,0.0011922270059585571,0.15922468900680542,0.3811263144016266,0.11808701604604721,,,,,
17,4769,,,,,,2.720956563949585,0.0013791322708129883,0.31036174297332764,1.1677688360214233,0.11814051121473312
18,4799,1.0951814651489258,0.001000821590423584,0.14895816147327423,0.3493897616863251,0.11832136660814285,,,,,
18,4849,1.2175376415252686,1.2934207916259766e-05,0.16985879838466644,0.36823081970214844,0.11844480782747269,,,,,
18,4899,1.2105050086975098,0.0039042532444000244,0.16622045636177063,0.37549856305122375,0.11861126124858856,,,,,
18,4949,1.0501091480255127,0.0033855587244033813,0.15325134992599487,0.28046682476997375,0.11878827959299088,,,,,
18,4999,1.1536403894424438,0.001919083297252655,0.14708498120307922,0.41629645228385925,0.11900371313095093,,,,,
18,5034,,,,,,2.6743643283843994,0.0020011719316244125,0.2989455759525299,1.1776341199874878,0.11914408951997757
19,5049,0.843765377998352,0.0011179223656654358,0.10229260474443436,0.33118435740470886,0.11916210502386093,,,,,
19,5099,0.9809771180152893,0.0009929388761520386,0.1332577019929886,0.3136956989765167,0.11932944506406784,,,,,
19,5149,1.144164800643921,0.0010861605405807495,0.16135862469673157,0.3362855911254883,0.1194610744714737,,,,,
19,5199,1.0107464790344238,0.002156496047973633,0.13612951338291168,0.32794249057769775,0.1196909174323082,,,,,
19,5249,0.9556266665458679,0.0011632442474365234,0.13420464098453522,0.2834402322769165,0.11991718411445618,,,,,
19,5299,1.2444039583206177,0.0021642744541168213,0.1783667951822281,0.3504057824611664,0.12008368223905563,,,,,
19,5299,,,,,,2.5706405639648438,0.003245770698413253,0.27618399262428284,1.1864749193191528,0.12009247392416
20,5349,1.0539742708206177,0.0010235756635665894,0.14474128186702728,0.32924431562423706,0.12030820548534393,,,,,
20,5399,1.0441237688064575,0.0009163916110992432,0.13986125588417053,0.3439010977745056,0.12052453309297562,,,,,
20,5449,0.9705274105072021,0.0019998252391815186,0.12935471534729004,0.3217540383338928,0.12063726782798767,,,,,
20,5499,0.9409159421920776,9.500980377197266e-05,0.1256595402956009,0.3125232458114624,0.12088721990585327,,,,,
20,5549,1.0738418102264404,0.00012089312076568604,0.14701460301876068,0.3386479318141937,0.12101010233163834,,,,,
20,5564,,,,,,2.547971725463867,0.00046168267726898193,0.2689087688922882,1.2029670476913452,0.12107657641172409
21,5599,0.980919361114502,0.003398984670639038,0.13256829977035522,0.3146788477897644,0.1212201938033104,,,,,
21,5649,0.865650475025177,0.0015235692262649536,0.11133930087089539,0.3074304163455963,0.1213754341006279,,,,,
