epoch,step,test_loss,test_ortho_penalty,test_recon_mse,test_task_mse,test_tau_value,train_loss,train_ortho_penalty,train_recon_mse,train_task_mse,train_tau_value,val_loss,val_ortho_penalty,val_recon_mse,val_task_mse,val_tau_value
0,49,,,,,,2.30149507522583,0.8788199424743652,0.41703978180885315,1.7965731620788574,0.10047680139541626,,,,,
0,99,,,,,,1.55967378616333,0.7097092866897583,0.323297381401062,1.165405511856079,0.10102934390306473,,,,,
0,149,,,,,,1.1548218727111816,0.51350998878479,0.2416500598192215,0.8618208765983582,0.10156220942735672,,,,,
0,199,,,,,,1.0009418725967407,0.3022735118865967,0.23670805990695953,0.7340064644813538,0.10201118886470795,,,,,
0,249,,,,,,0.883287787437439,0.07860785722732544,0.19997695088386536,0.6754500865936279,0.10238176584243774,,,,,
0,264,,,,,,,,,,,1.4520366191864014,0.004128903150558472,0.28186261653900146,1.1697607040405273,0.10249371826648712
1,299,,,,,,0.8137460350990295,0.00288352370262146,0.19050003588199615,0.6229576468467712,0.10269001126289368,,,,,
1,349,,,,,,0.745858907699585,7.829070091247559e-05,0.16683267056941986,0.5790184140205383,0.10289310663938522,,,,,
1,399,,,,,,0.7842069864273071,0.00025650858879089355,0.15158818662166595,0.6325931549072266,0.103046715259552,,,,,
1,449,,,,,,0.6105459332466125,0.0009681284427642822,0.14043256640434265,0.47001656889915466,0.10314363986253738,,,,,
1,499,,,,,,0.5990367531776428,0.001266777515411377,0.14148090779781342,0.4574292004108429,0.10319846123456955,,,,,
1,529,,,,,,,,,,,1.2203648090362549,0.00044041869114153087,0.1836433857679367,1.0366778373718262,0.10323521494865417
2,549,,,,,,0.6008920073509216,0.0007669031620025635,0.11754946410655975,0.48326584696769714,0.10326056182384491,,,,,
2,599,,,,,,0.5582544207572937,0.0007950365543365479,0.12646779417991638,0.43170711398124695,0.10329540073871613,,,,,
2,649,,,,,,0.5323271751403809,0.0010851174592971802,0.12476006150245667,0.4074585735797882,0.10331659018993378,,,,,
2,699,,,,,,0.5675855278968811,7.551908493041992e-05,0.10711697489023209,0.46046099066734314,0.1033414751291275,,,,,
2,749,,,,,,0.540691077709198,0.0004998892545700073,0.1105736717581749,0.43006742000579834,0.10339078307151794,,,,,
2,794,,,,,,,,,,,1.130247712135315,0.0008747130632400513,0.13974182307720184,0.9904181957244873,0.1034155786037445
3,799,,,,,,0.5442396402359009,9.208917617797852e-06,0.09955958276987076,0.4446791410446167,0.10343331098556519,,,,,
3,849,,,,,,0.6469218730926514,0.0013989508152008057,0.10148368775844574,0.5452982783317566,0.10350006073713303,,,,,
3,899,,,,,,0.48775744438171387,0.0012395083904266357,0.08926119655370712,0.3983722925186157,0.10352753847837448,,,,,
