epoch,step,test_loss,test_ortho_penalty,test_recon_mse,test_task_mse,test_tau_value,train_loss,train_ortho_penalty,train_recon_mse,train_task_mse,train_tau_value,val_loss,val_ortho_penalty,val_recon_mse,val_task_mse,val_tau_value
0,49,,,,,,3.097240447998047,0.033259183168411255,0.5454415678977966,2.5484728813171387,0.10047268867492676,,,,,
0,99,,,,,,1.7223600149154663,0.0004474222660064697,0.359634131193161,1.3626811504364014,0.10107649117708206,,,,,
0,149,,,,,,1.1954015493392944,0.0004039779305458069,0.3290165662765503,0.8663446307182312,0.10171543806791306,,,,,
0,199,,,,,,1.0148673057556152,0.0003881528973579407,0.31534722447395325,0.699481189250946,0.10222681611776352,,,,,
0,249,,,,,,0.8709391355514526,0.00020989030599594116,0.26770928502082825,0.6032088398933411,0.10260424017906189,,,,,
0,264,,,,,,,,,,,1.5313631296157837,0.0003024488687515259,0.3326055109500885,1.1987271308898926,0.10269651561975479
1,299,,,,,,0.771551251411438,9.412318468093872e-05,0.204840749502182,0.5667011141777039,0.10287070274353027,,,,,
1,349,,,,,,0.798498272895813,4.7013163566589355e-06,0.2017623782157898,0.596735417842865,0.10307691246271133,,,,,
1,399,,,,,,0.7136006951332092,0.00015192478895187378,0.19001993536949158,0.5235655903816223,0.10323408246040344,,,,,
1,449,,,,,,0.6826095581054688,0.0017531812191009521,0.16673074662685394,0.5157034993171692,0.10335257649421692,,,,,
1,499,,,,,,0.6157506704330444,0.00021431595087051392,0.15546652674674988,0.460262656211853,0.1034654751420021,,,,,
1,529,,,,,,,,,,,1.2581356763839722,0.0005094632506370544,0.20265884697437286,1.055425763130188,0.10350131243467331
2,549,,,,,,0.7323082089424133,0.0004696473479270935,0.15492577850818634,0.5773354768753052,0.10351777821779251,,,,,
2,599,,,,,,0.5757119655609131,0.000133611261844635,0.11846256256103516,0.45723608136177063,0.103599414229393,,,,,
2,649,,,,,,0.6747071146965027,0.00034393370151519775,0.1303023248910904,0.5443704128265381,0.10363943129777908,,,,,
2,699,,,,,,0.5185855031013489,0.000285416841506958,0.10917818546295166,0.4093787968158722,0.10368093848228455,,,,,
2,749,,,,,,0.5935630202293396,0.0017067678272724152,0.10363887995481491,0.48975351452827454,0.10372614115476608,,,,,
2,794,,,,,,,,,,,1.1391621828079224,0.00014688074588775635,0.14568647742271423,0.9934607148170471,0.10376399755477905
3,799,,,,,,0.6078773736953735,0.00019573047757148743,0.11460672318935394,0.49325108528137207,0.10376320034265518,,,,,
3,849,,,,,,0.5557988286018372,0.0007473528385162354,0.1102072224020958,0.4455168545246124,0.10379727184772491,,,,,
3,899,,,,,,0.5098508596420288,0.0006102956831455231,0.10338029265403748,0.40640950202941895,0.10385265201330185,,,,,
3,949,,,,,,0.5018123984336853,0.0003012903034687042,0.1064024567604065,0.39537981152534485,0.1038997694849968,,,,,
3,999,,,,,,0.5103227496147156,0.0008732937276363373,0.09528671950101852,0.4149487018585205,0.10395804792642593,,,,,
3,1049,,,,,,0.5335083603858948,0.001527588814496994,0.09623268991708755,0.4371229112148285,0.10401398688554764,,,,,
3,1059,,,,,,,,,,,1.0869351625442505,0.0001254454255104065,0.12328296154737473,0.9636398553848267,0.10403158515691757
4,1099,,,,,,0.5236577987670898,4.0475279092788696e-05,0.09523481875658035,0.42841893434524536,0.10409971326589584,,,,,
4,1149,,,,,,0.45458516478538513,0.0012999512255191803,0.08911368250846863,0.3653414845466614,0.10411463677883148,,,,,
4,1199,,,,,,0.46920472383499146,0.003019537776708603,0.08582594990730286,0.38307681679725647,0.10419830679893494,,,,,
4,1249,,,,,,0.5070075988769531,0.0009584687650203705,0.0875181257724762,0.4193936288356781,0.10421527922153473,,,,,
4,1299,,,,,,0.4840667247772217,0.001264616847038269,0.08965986222028732,0.39428040385246277,0.10426608473062515,,,,,
4,1324,,,,,,,,,,,1.076743245124817,0.00030514225363731384,0.1156824603676796,0.9610302448272705,0.10429192334413528
5,1349,,,,,,0.4620896875858307,0.0009111538529396057,0.09683209657669067,0.36516648530960083,0.10433163493871689,,,,,
5,1399,,,,,,0.43524911999702454,0.0006768852472305298,0.09534532576799393,0.33983612060546875,0.10435548424720764,,,,,
5,1449,,,,,,0.5006852149963379,0.0019833892583847046,0.08952337503433228,0.4109635055065155,0.10445776581764221,,,,,
5,1499,,,,,,0.515093207359314,0.00047888606786727905,0.09986279159784317,0.41518256068229675,0.1045718789100647,,,,,
5,1549,,,,,,0.569810688495636,0.0006254240870475769,0.10007511079311371,0.4696730673313141,0.1046506017446518,,,,,
5,1589,,,,,,,,,,,1.0682151317596436,0.0014547185273841023,0.11349575221538544,0.9545741677284241,0.10474544763565063
6,1599,,,,,,0.4399946928024292,0.0005611442029476166,0.09513788670301437,0.3448006808757782,0.10474301129579544,,,,,
6,1649,,,,,,0.5232797861099243,0.0005223490297794342,0.08931571990251541,0.43391183018684387,0.10480491816997528,,,,,
